央视,#genre#
CCTV1-综合,https://mgsp-ali.live.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=2cc0a658b41ab941316ad33239316b1a&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20230312082210&Channel_ID=200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=27.18.129.225&SecurityKey=20230312082210&mvid=2201057821&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=a16d2c6805805d80928994554eea6789#https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8?BR=md&region=hubei#https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8#https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8?BR=md&region=shanghai#https://pull-l3-cny.douyincdn.com/live/e6f94b3954bbed1d402cc16ad2b976b8.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV2-财经,https://mgsp-ali.live.miguvideo.com/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=ceb658b1971c9ceeee2bd3349d77a11c&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20230312082446&Channel_ID=200300220100002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=27.18.129.225&SecurityKey=20230312082446&mvid=5101064231&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=941abb27a5e74d615da99d3090336236#https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv2_2/index.m3u8?BR=md&region=hubei
CCTV3-综艺,https://mgsp-hs.live.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=b87cee92328ec484a2bed33575d151a6&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20230312082542&Channel_ID=200300220100002&ProgramID=62487827120230312008&ParentNodeID=-99&playbackbegin=20230312065600&playbackend=20230312075000&assertID=5500212864&client_ip=27.18.129.225&SecurityKey=20230312082542&mvid=5100001683&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=71512e49ae94e92238d3a0819f684235#https://tvplay.sxyssj.com/live/CZliveCCTV3.m3u8?txSecret=ea59a3acd69490f919060c8e45f378f6&txTime=640c4bbe#https://cctvwbcdali.v.myalicdn.com/cctvwbcd/cdrmcctv3_1/index.m3u8?b=200-2100#https://cctvwbcdali.v.myalicdn.com/cctvwbcd/cdrmcctv3_1td.m3u8#https://cctvwbcdali.v.myalicdn.com/cctvwbcd/cdrmcctv3_1ud.m3u8#https://cctvwbcdali.v.myalicdn.com/cctvwbcd/cdrmcctv3_1md.m3u8#https://tvplay.sxyssj.com/live/CZliveCCTV3.m3u8?txSecret=fc7c6d60bb61582058bb1aa7fa44bfd1&txTime=640b7e79#http://39.134.165.31/live.gq.miguvideo.com/wd_r2/ocn/cctv3hd/3000/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv38m/8000000#http://122.136.191.47/liveplay-kk.rtxapp.com/live/program/live/cctv3hd/2300000/mnf.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225799/1.m3u8#http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
CCTV4-中文国际,https://mgsp-hs.live.miguvideo.com/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=202303102117508c6c928182474e1188f06f5916c9843f&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20230310211750&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=125.77.138.39&SecurityKey=20230310211750&mvid=5101064235&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=aed9eaad08b7c12e829e2925c40f91e1#https://cctvwbcdali.v.myalicdn.com/cctvwbcd/cdrmcctv4_1/index.m3u8?b=200-2100#https://cctvwbcdali.v.myalicdn.com/cctvwbcd/cdrmcctv4_1td.m3u8#http://39.134.165.31/live.gq.miguvideo.com/wd_r2/cctv/cctv4hd/3000/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000#http://39.134.66.110/PLTV/88888888/224/3221225797/1.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000204803.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://39.136.48.19:8089/PLTV/88888888/224/3221225757/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225621/index.m3u8#http://39.135.138.58:18890/TVOD/88888888/224/3221225621/1.m3u8#http://122.136.191.47/liveplay-kk.rtxapp.com/live/program/live/cctv4/1300000/mnf.m3u8#http://223.111.143.136/liveplay-kk.rtxapp.com/live/program/live/cctv4/1300000/mnf.m3u8
CCTV5-体育,https://pull-l3-cny.douyincdn.com/live/50d57190a1a8fbfadeb788e45c9aebb0.m3u8#https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV6-电影,https://m.miguvideo.com/mgs/msite/prd/liveDetail.html?channelid=200300220100002&contId=624878396&sharefrom=miguvideoapp&pwId=aa4b26de29a545ecb281fa8ccd253cd2#https://cctvwbcdks.v.kcdnvip.com/cctvwbcd/cdrmcctv6_1/index.m3u8?b=200-2100#https://cctvwbcdks.v.kcdnvip.com/cctvwbcd/cdrmcctv6_1/index.m3u8?BR=td&region=shanghai#http://39.134.165.31/live.gq.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000#http://122.136.191.47/liveplay-kk.rtxapp.com/live/program/live/cctv6hd/2300000/mnf.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225814/1.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000203303.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV7-军事,https://mgsp-ali.live.miguvideo.com/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=79a5ea9d45cd79c4ae1bd33a6e7256ae&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20230312083107&Channel_ID=200300220100002&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=27.18.129.225&SecurityKey=20230312083107&mvid=5102910278&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=155ac24b4ca0e8674d4835da20c1d019#https://tvplay.sxyssj.com/live/CZliveCCTV7.m3u8?txSecret=d7fc56c9dc53fc8891d6d98b5e2dd6aa&txTime=640b82cf#https://cctvwbcdtxy.liveplay.myqcloud.com/cctvwbcd/cdrmjzcctv7_1/index.m3u8?b=200-2100#https://cctvwbcdtxy.liveplay.myqcloud.com/cctvwbcd/cdrmjzcctv7_1_td.m3u8#http://39.134.165.31/live.gq.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225624/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000#http://122.136.191.47/liveplay-kk.rtxapp.com/live/program/live/cctv7/1300000/mnf.m3u8#http://39.136.48.18:8089/PLTV/88888888/224/3221225753/index.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000510003.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225671/1.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221227642/index.m3u8
CCTV8-电视剧,https://mgbs.live.miguvideo.com/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?msisdn=51508a8c173b9ab4deabd33b115cc576&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20230312083149&Channel_ID=200300220100002&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=27.18.129.225&SecurityKey=20230312083149&mvid=5100001695&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=a1572f49f1c2ad844bcfe1c98a8a03a8#https://tvplay.sxyssj.com/live/CZlivetimeCCTV8.m3u8?txSecret=6729764ed140d83e2f4a6ad57b088b22&txTime=640b8321#http://39.134.165.31/live.gq.miguvideo.com/wd_r2/ocn/cctv8hd/3000/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000#http://122.136.191.47/liveplay-kk.rtxapp.com/live/program/live/cctv8hd/2300000/mnf.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000203903.m3u8#http://111.40.196.30/PLTV/88888888/224/3221225592/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8
CCTV9-纪录,https://mgsp-hs.live.miguvideo.com/migu/kailu/20200324/cctv9hd/50/index.m3u8?msisdn=391c0e7bea1c37cb498ad33bb0f31720&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20230312083230&Channel_ID=200300220100002&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=27.18.129.225&SecurityKey=20230312083230&mvid=5102910384&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=908f78cd45bf8b1a78554ad58a2266e6#https://tvplay.sxyssj.com/live/CZliveCCTV9.m3u8?txSecret=162bc610cd9dc1953f98c776866f4e4e&txTime=640b8351#http://39.134.165.31/live.gq.miguvideo.com/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000#http://39.134.66.110/PLTV/88888888/224/3221225676/1.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000499403.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221227614/index.m3u8
CCTV10-科教,https://mgsp-hs.live.miguvideo.com/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?msisdn=4d6e4e1a852e8b5b8a18d33ca6a3e7a1&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20230312083333&Channel_ID=200300220100002&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=27.18.129.225&SecurityKey=20230312083333&mvid=5100001696&mcid=500020&mpid=&playurlVersion=WX-A1-6.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=d0842958eaf5965a0150ced3c3c09e92#https://tvplay.sxyssj.com/live/CZlivetimeCCTV10.m3u8?txSecret=e91d23cdec8fb55d327bc242d6198810&txTime=640b8384http://39.134.165.31/live.gq.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=1#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000#http://122.136.191.47/liveplay-kk.rtxapp.com/live/program/live/cctv10hd/2300000/mnf.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://220.194.122.56/tlivectfree-cdn.ysp.cctv.cn/001/2000203503.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225550/index.m3u8
